postalCode,Household Income,Population,Median Age,Per Capita Income,Poverty Count,Unemployment Count
37863,41146,6903,44.4,19996,937,120
48204,24362,24524,37.6,15175,10287,1833
48235,31759,44753,39.2,17911,13683,3356
12304,49464,22833,39.4,27411,2730,861
12401,52784,35339,41,30045,5922,1556
10036,91936,27428,36.7,80259,4183,964
10002,35859,74993,43.6,32694,20565,2527
11553,73424,25869,34.7,23799,2864,648
11753,168627,12596,44.8,76084,508,269
12205,69411,27212,41.6,33293,1948,513
10452,28277,76078,31.6,14712,28044,3513
12303,66436,28233,41.2,34432,2389,791
14220,54369,23980,36.4,27022,3809,715
14150,53982,40825,45.4,30044,4198,611
1801,88671,40350,40.5,41720,2328,878
1588,75495,9775,37.9,34008,544,198
1887,122813,23658,41.4,47330,580,541
1570,57924,16971,41.4,30919,1454,685
2451,96914,18699,38,47260,1577,587
1469,83602,7632,38,37414,353,184
2081,109893,19378,43,51652,693,444
2780,57591,50264,38.9,29760,7194,1613
1104,31113,23876,35.3,20132,6265,1055
1105,19921,11957,31.1,13698,5996,645
1107,27131,11582,27,14816,5309,1046
1118,61786,14980,36.9,30775,2316,293
1129,61645,6762,42.4,30704,743,162
1562,71830,11913,45.2,33055,1191,335
75098,93511,56764,33.9,32776,3543,1253
75703,57934,41842,36.3,36218,4067,910
65203,64629,57788,36,38047,6235,984
31401,33716,20256,27.5,26192,6466,1110
30062,99101,66053,40.2,44844,3618,1257
30253,65675,55176,35.6,28894,6481,2198
30655,48427,25210,35.7,23619,4418,829
30907,66066,51984,40.8,34191,4942,1193
31061,39642,43762,35.2,20853,10377,1860
30052,67394,65959,36.5,26602,6238,1787
30052,67394,65959,36.5,26602,6238,1787
30038,48203,39104,33.4,24281,6849,1866
1923,84842,27457,44.9,41545,1516,472
44266,49389,33894,41.3,26721,4510,1453
92019,82261,42400,41.7,35726,4720,1464
92020,55666,58742,34.9,26344,11421,2664
92024,114131,51496,42.6,62822,3464,1293
77433,109084,82257,32.3,39418,4274,1829
95926,45782,39012,28.3,27443,10157,1989
95010,80011,9030,44,45342,1198,104
93514,57027,14412,46,32632,1226,386
31709,36438,15659,31.1,21167,4210,705
29621,56887,40931,44,31854,4061,1115
30125,41210,23814,38.5,23833,4496,647
6033,112004,29026,45.8,58082,1247,842
42718,38904,25597,37.7,21143,5796,588
42718,38904,25597,37.7,21143,5796,588
94534,110761,38444,42.1,47304,1199,962
33455,54113,22415,57,48286,2457,621
33013,32461,32980,46.2,16795,7900,736
32435,44118,7325,41.7,25123,1141,347
33430,24840,22603,31.4,12563,9474,1331
33825,36595,26526,43.7,20379,6314,1396
31408,45762,10516,32,18710,1679,249
67801,52730,30842,30.7,22578,4530,1021
50021,81186,27406,34.5,40293,1623,485
50010,53887,33965,29.9,30341,6501,697
50021,81186,27406,34.5,40293,1623,485
27217,40114,37624,38.6,19780,7957,1384
28273,63687,39483,33.4,29482,3705,1539
92344,82229,23003,35.5,26853,1978,645
