dateAdded,dateUpdated,address,categories,city,country,keys,latitude,longitude,name,postalCode,province,Big4
2016-03-29T05:06:36Z,2018-06-26T02:59:52Z,206 Wears Valley Rd,Fast Food Restaurant,Pigeon Forge,US,us/tn/pigeonforge/206wearsvalleyrd/-864103396,35.803788,-83.58055300000001,Taco Bell,37863,TN,Taco Bell
2015-10-23T23:59:49Z,2018-06-26T02:59:43Z,9768 Grand River Ave,Fast Food Restaurant,Detroit,US,us/mi/detroit/9768grandriverave/-791445730,42.368823,-83.138251,Wendy's,48204,MI,Wendys
2015-09-21T07:47:08Z,2018-06-26T02:59:43Z,13600 W McNichols Rd,Fast Food Restaurant,Detroit,US,us/mi/detroit/13600wmcnicholsrd/-2061630068,42.416819,-83.180444,Burger King,48235,MI,Burger King
2017-06-30T23:04:32Z,2018-06-25T09:29:45Z,1224 State St,Fast Food,Schenectady,US,us/ny/schenectady/1224statest/-1161002137,42.79792,-73.924364,McDonald's,12304,NY,McDonalds
2017-06-29T02:03:33Z,2018-06-25T09:29:45Z,1232 Ulster Ave,Fast Food Restaurant,Kingston,US,us/ny/kingston/1232ulsterave/-1161002137,41.967079,-73.98858299999999,McDonald's,12401,NY,McDonalds
2017-06-19T14:50:03Z,2018-06-25T09:29:44Z,1188 Avenue of The Americas,Fast Food Restaurant,New York,US,us/ny/newyork/1188avenueoftheamericas/-1161002137,40.757558,-73.98167099999999,McDonald's,10036,NY,McDonalds
2017-06-19T14:53:25Z,2018-06-25T09:29:43Z,114 Delancey St,Fast Food Restaurant,New York,US,us/ny/newyork/114delanceyst/-1161002137,40.718942999999996,-73.98830600000001,McDonald's,10002,NY,McDonalds
2017-06-19T14:52:24Z,2018-06-25T09:29:41Z,1050 Front St,Fast Food Restaurants,Uniondale,US,us/ny/uniondale/1050frontst/-1161002137,40.709646,-73.591453,McDonald's,11553,NY,McDonalds
2016-03-21T01:37:59Z,2018-06-25T09:29:41Z,105 Jericho Tpke,Fast Food,Jericho,US,us/ny/jericho/105jerichotpke/-1161002137,40.780233,-73.55934,McDonald's,11753,NY,McDonalds
2017-06-19T15:24:34Z,2018-06-25T09:29:41Z,106 Wolf Rd,Fast Food Restaurants,Albany,US,us/ny/albany/106wolfrd/-1161002137,42.716812,-73.80931899999999,McDonald's,12205,NY,McDonalds
2014-02-03T04:12:36Z,2018-06-25T09:29:40Z,101 E 170th St,Fast Food,Bronx,US,us/ny/bronx/101e170thst/-1161002137,40.839569,-73.915927,McDonald's,10452,NY,McDonalds
